id_vente,id_produit,id_client,date_vente,quantite,montant_total,nom_produit,categorie,prix_unitaire,nom_client,email
34,6,8,2024-05-04,3,2099.9700000000003,Smartphone,Électronique,699.99,Trunks,
35,6,7,2025-03-25,2,1399.98,Smartphone,Électronique,699.99,Goten,
36,7,4,2025-01-07,2,110.64,Sabre,Arme Blanche,55.32,Grey Fullbuster,greyfullbuster18@gmail.com
37,2,8,2024-12-07,3,59.97,T-shirt,Vêtements,19.99,Trunks,
38,2,7,2024-10-16,1,19.99,T-shirt,Vêtements,19.99,Goten,
39,2,6,2024-07-02,2,39.98,T-shirt,Vêtements,19.99,Gon Freecss,
40,7,4,2025-01-14,3,165.96,Sabre,Arme Blanche,55.32,Grey Fullbuster,greyfullbuster18@gmail.com
41,1,10,2024-12-09,1,999.99,Laptop,Électronique,999.99,Sasuke Uchiha,sasukeuchiha32@gmail.com
42,2,3,2024-11-25,1,19.99,T-shirt,Vêtements,19.99,Natsu Dragnir,natsudragnir18@gmail.com
43,7,7,2024-07-18,1,55.32,Sabre,Arme Blanche,55.32,Goten,
44,1,5,2024-10-29,3,2999.9700000000003,Laptop,Électronique,999.99,Kirua Zoldik,
45,1,4,2024-12-05,2,1999.98,Laptop,Électronique,999.99,Grey Fullbuster,greyfullbuster18@gmail.com
46,6,1,2024-07-14,1,699.99,Smartphone,Électronique,699.99,Kenpachi Zaraki,kenpachizaraki1700@gmail.com
47,3,10,2024-06-10,3,52.980000000000004,Polo,Vêtements,17.66,Sasuke Uchiha,sasukeuchiha32@gmail.com
48,2,5,2025-03-25,1,19.99,T-shirt,Vêtements,19.99,Kirua Zoldik,
49,7,2,2024-05-15,3,165.96,Sabre,Arme Blanche,55.32,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
50,4,9,2025-02-10,2,119.98,Aspirateur,Électroménager,59.99,Naruto Uzumaki,narutouzumaki32@example.com
51,6,5,2024-06-22,3,2099.9700000000003,Smartphone,Électronique,699.99,Kirua Zoldik,
52,7,7,2024-06-09,3,165.96,Sabre,Arme Blanche,55.32,Goten,
53,5,6,2025-01-17,2,25.12,Dictionnaire,Culture,12.56,Gon Freecss,
54,2,4,2024-07-04,2,39.98,T-shirt,Vêtements,19.99,Grey Fullbuster,greyfullbuster18@gmail.com
55,7,1,2024-12-05,1,55.32,Sabre,Arme Blanche,55.32,Kenpachi Zaraki,kenpachizaraki1700@gmail.com
56,6,2,2024-11-26,2,1399.98,Smartphone,Électronique,699.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
57,2,1,2024-10-24,3,59.97,T-shirt,Vêtements,19.99,Kenpachi Zaraki,kenpachizaraki1700@gmail.com
58,4,10,2024-11-17,3,179.97,Aspirateur,Électroménager,59.99,Sasuke Uchiha,sasukeuchiha32@gmail.com
59,2,2,2025-01-15,2,39.98,T-shirt,Vêtements,19.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
60,4,8,2024-06-08,1,59.99,Aspirateur,Électroménager,59.99,Trunks,
61,7,2,2024-06-22,1,55.32,Sabre,Arme Blanche,55.32,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
62,5,4,2025-01-12,1,12.56,Dictionnaire,Culture,12.56,Grey Fullbuster,greyfullbuster18@gmail.com
63,2,7,2025-03-23,3,59.97,T-shirt,Vêtements,19.99,Goten,
64,4,5,2024-10-12,3,179.97,Aspirateur,Électroménager,59.99,Kirua Zoldik,
65,7,8,2024-10-08,2,110.64,Sabre,Arme Blanche,55.32,Trunks,
66,3,2,2024-08-28,2,35.32,Polo,Vêtements,17.66,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
67,2,3,2024-07-21,2,39.98,T-shirt,Vêtements,19.99,Natsu Dragnir,natsudragnir18@gmail.com
68,5,5,2025-02-04,3,37.68,Dictionnaire,Culture,12.56,Kirua Zoldik,
69,5,7,2024-05-25,3,37.68,Dictionnaire,Culture,12.56,Goten,
70,6,10,2025-03-06,3,2099.9700000000003,Smartphone,Électronique,699.99,Sasuke Uchiha,sasukeuchiha32@gmail.com
71,5,10,2025-02-19,2,25.12,Dictionnaire,Culture,12.56,Sasuke Uchiha,sasukeuchiha32@gmail.com
72,4,6,2024-04-26,2,119.98,Aspirateur,Électroménager,59.99,Gon Freecss,
73,5,3,2024-12-02,1,12.56,Dictionnaire,Culture,12.56,Natsu Dragnir,natsudragnir18@gmail.com
74,4,5,2024-08-29,2,119.98,Aspirateur,Électroménager,59.99,Kirua Zoldik,
75,7,2,2025-01-16,1,55.32,Sabre,Arme Blanche,55.32,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
76,5,2,2024-04-18,2,25.12,Dictionnaire,Culture,12.56,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
77,3,4,2025-03-13,2,35.32,Polo,Vêtements,17.66,Grey Fullbuster,greyfullbuster18@gmail.com
78,3,1,2024-06-24,3,52.980000000000004,Polo,Vêtements,17.66,Kenpachi Zaraki,kenpachizaraki1700@gmail.com
79,6,1,2024-08-06,2,1399.98,Smartphone,Électronique,699.99,Kenpachi Zaraki,kenpachizaraki1700@gmail.com
80,4,5,2024-12-30,3,179.97,Aspirateur,Électroménager,59.99,Kirua Zoldik,
81,4,2,2024-09-21,2,119.98,Aspirateur,Électroménager,59.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
82,6,1,2024-09-03,1,699.99,Smartphone,Électronique,699.99,Kenpachi Zaraki,kenpachizaraki1700@gmail.com
83,2,3,2024-07-06,1,19.99,T-shirt,Vêtements,19.99,Natsu Dragnir,natsudragnir18@gmail.com
84,5,10,2025-03-02,3,37.68,Dictionnaire,Culture,12.56,Sasuke Uchiha,sasukeuchiha32@gmail.com
85,7,7,2024-11-02,3,165.96,Sabre,Arme Blanche,55.32,Goten,
86,1,8,2024-05-30,2,1999.98,Laptop,Électronique,999.99,Trunks,
87,6,1,2024-09-06,2,1399.98,Smartphone,Électronique,699.99,Kenpachi Zaraki,kenpachizaraki1700@gmail.com
88,7,9,2024-10-02,2,110.64,Sabre,Arme Blanche,55.32,Naruto Uzumaki,narutouzumaki32@example.com
89,6,2,2024-07-13,2,1399.98,Smartphone,Électronique,699.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
90,5,3,2024-04-29,3,37.68,Dictionnaire,Culture,12.56,Natsu Dragnir,natsudragnir18@gmail.com
91,3,3,2024-12-03,2,35.32,Polo,Vêtements,17.66,Natsu Dragnir,natsudragnir18@gmail.com
92,3,10,2024-11-09,2,35.32,Polo,Vêtements,17.66,Sasuke Uchiha,sasukeuchiha32@gmail.com
93,5,3,2024-05-24,2,25.12,Dictionnaire,Culture,12.56,Natsu Dragnir,natsudragnir18@gmail.com
94,2,2,2024-09-09,2,39.98,T-shirt,Vêtements,19.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
95,5,1,2024-11-20,2,25.12,Dictionnaire,Culture,12.56,Kenpachi Zaraki,kenpachizaraki1700@gmail.com
96,6,7,2024-08-08,1,699.99,Smartphone,Électronique,699.99,Goten,
97,5,8,2025-01-06,2,25.12,Dictionnaire,Culture,12.56,Trunks,
98,4,7,2024-06-11,3,179.97,Aspirateur,Électroménager,59.99,Goten,
99,2,6,2024-04-06,2,39.98,T-shirt,Vêtements,19.99,Gon Freecss,
100,3,5,2024-04-26,2,35.32,Polo,Vêtements,17.66,Kirua Zoldik,
